ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
1,"Volume Up 🔊 
Its National Anthem Last Night at #PeshawarJalsa https://t.co/am9f8uNopJ",AbdulqadirARY,,no,yes,PeshawarJalsa,,1.51464722841295E+018,2022-04-14 16:50:14+00:00,0,0.066666666666667,16986,5577,568,Information,neutral
2,"JUST IN: the trend #امپورٹڈ_حکومت_نامنظور has crossed 2 CRORE NUMBER
This is unprecedented- this is voice of pakistan. This is decision of pakistan. We want early Early ELECTIONS. #PeshawarJalsa",HniaziISF,,no,no,امپورٹڈ_حکومت_نامنظور PeshawarJalsa,,1.51434551078153E+018,2022-04-13 20:51:19+00:00,0.3254,0.5,22669,12550,710,Information,neutral
3,"The voice of justice, the voice of the people! 

#ARYNews #PeshawarJalsa https://t.co/0ZWfvI1yWX",ARYNEWSOFFICIAL,,no,yes,ARYNews PeshawarJalsa,,1.51462705913754E+018,2022-04-14 15:30:05+00:00,0.5707,0,22545,5343,905,Information,positive
4,"It’s MASSIVE !! 
#PeshawarJalsa",iqrarulhassan,,no,no,PeshawarJalsa,,1.5143045454001E+018,2022-04-13 18:08:32+00:00,0,1,41378,8906,1789,Information,neutral
5,#PeshawarJalsa right now. https://t.co/C6NJqmgb64,Shiffa_ZY,,no,yes,PeshawarJalsa,,1.51430150783063E+018,2022-04-13 17:56:28+00:00,0,0.535714285714286,21534,6941,737,Information,neutral
6,Detailed Drone footage from all angles #peshawarjalsa https://t.co/i1zExJwOzU,siasatpk,,no,yes,peshawarjalsa,,1.51438969540858E+018,2022-04-13 23:46:54+00:00,0,0.75,6336,2848,293,Information,neutral
7,"Thank You Peshawar!

Amazing aerial view of #PeshawarJalsa. #ImportedGovtNotAcceptable https://t.co/GEKA6fGzDA",ZiaBangashPTI,,no,yes,PeshawarJalsa ImportedGovtNotAcceptable,,1.51433759503957E+018,2022-04-13 20:19:52+00:00,0.7644,0.9,21490,7775,725,Misinformation,positive
8,Midnight courts threat will be the nightmare we will remember for decades. #امپورٹڈ_حکومت_نامنظور #PeshawarJalsa,HniaziISF,,no,no,امپورٹڈ_حکومت_نامنظور PeshawarJalsa,,1.51432011143549E+018,2022-04-13 19:10:23+00:00,-0.5267,0,8248,4735,107,Information,negative
9,"Hailing from Peshawar, I must say that this Jalsa is Historic. By all means!!! 

#PeshawarJalsa",Shiffa_ZY,,no,no,PeshawarJalsa,,1.51431625121606E+018,2022-04-13 18:55:03+00:00,0,0,28549,6707,865,Information,neutral
10,National Anthem #PeshawarJalsa https://t.co/IB95ZKBdzs,javerias,,no,yes,PeshawarJalsa,,1.5144965759716E+018,2022-04-14 06:51:36+00:00,0,0,3117,1037,106,Information,neutral
