,ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
0,1,"Senior Congress leaders from Saurashtra, Indranil Rajyaguru and Vasram Sagathiya (both ex-MLAs), and Congress corporator Komalben Bharai, joined the Aam Aadmi Party on Thursday.
#Politics | @saurabhv99 
https://t.co/HinIrKjbsR",IndiaToday,https://www.indiatoday.in/india/story/former-gujarat-congress-mla-indranil-rajguru-joins-aap-in-rajkot-1937452-2022-04-14,yes,no,Politics,saurabhv99,1.51456345045405e+18,2022-04-14 11:17:20+00:00,0.4019,0.0,153,46,3,Information,positive
1,2,"For more takes on today's top stories, visit Newsmax's Cartoons section at https://t.co/j0AEHfyYlZ.  #Biden #Psaki #WhiteHouse #Politics https://t.co/UZFtndy6yQ",newsmax,http://nws.mx/cartoons,yes,yes,Biden Psaki WhiteHouse Politics,,1.51460874309838e+18,2022-04-14 14:17:19+00:00,0.2023,0.5,225,51,12,Information,neutral
2,3,"LISTEN: @RitaCosby discusses the idea that law enforcement feels abandoned by politicians!

Do you agree? 

Listen to 'The Rita Cosby Show' weeknights at 10PM on 770 AM, https://t.co/YglQsSp5uO or on the 77WABC Radio App! 

#news #police #trendingnews #77wabc #ritacosby #politics https://t.co/cj7Gl4HLAA",77WABCradio,http://wabcradio.com,yes,yes,news police trendingnews 77wabc ritacosby politics,RitaCosby,1.5142176390229e+18,2022-04-13 12:23:12+00:00,-0.2695,0.0,41,72,2,Information,neutral
3,4,"Check out this clip from my interview with Laura Cathcart Robbins on The Only One In The Room podcast. 

Listen to hear some of my story and about our movement to spread #PBJ across our great state of Arkansas! 

#podcast #storytelling #theonlyone #politics #interview #arkansas https://t.co/AHhDchUC2p",JonesForAR,https://twitter.com/TheOnlyOnePodc1/status/1514002505939644418,yes,no,PBJ podcast storytelling theonlyone politics interview arkansas,,1.51426962649827e+18,2022-04-13 15:49:47+00:00,0.6588,0.875,78,22,2,Information,positive
4,5,"Today in Daily Independent: 2023 Presidential Election — APC Chiefs Mull Northern Candidate To Checkmate PDP and more stories. 

#nigeria #news #2023presidency #apc #politics #pdp #insecurity #2022Budget #economy #IndependentNewspapers #Frontpage https://t.co/2PNjdY1u8g",IndependentNGR,,no,yes,nigeria news 2023presidency apc politics pdp insecurity 2022Budget economy IndependentNewspapers Frontpage,,1.51478185274929e+18,2022-04-15 01:45:11+00:00,-0.4215,0.208333333333333,28,13,1,Information,negative
5,6,"#OutlookMagazine new issue | Political cadres not only act as an interface between parties and the masses, they also help in decentralising democracy at the grassroots

@manojkjhadu

#politics #sangh #bjp #cadre #politicalparties #bihar #uttarpradesh #bengal https://t.co/E4AizyNaNa",Outlookindia,,no,yes,OutlookMagazine politics sangh bjp cadre politicalparties bihar uttarpradesh bengal,manojkjhadu,1.51483842781181e+18,2022-04-15 05:30:00+00:00,0.6597,0.518181818181818,19,5,0,Information,positive
6,7,"Wing.
2022.04.14

#politics #cdnpoli #canpol #polcan #canpoli #sony #sonyphotography #sonya9ii #sigma #sigmaart #sigmaphoto #politicalphotography #ministers #dnd #defence #dnd #rcaf #airforce #cfbtrenton https://t.co/qrHzEUfFtj",TetreaultAJ,,no,yes,politics cdnpoli canpol polcan canpoli sony sonyphotography sonya9ii sigma sigmaart sigmaphoto politicalphotography ministers dnd defence dnd rcaf airforce cfbtrenton,,1.51472053393335e+18,2022-04-14 21:41:32+00:00,0.1027,0.0,30,6,0,Information,neutral
7,8,"#Opinion: #Kejriwal is ideology-neutral. His #Politics is transactional: dollops of welfare in return for votes. It’s difficult for the #BJP to trap him in #secular versus communal binaries or national versus anti-national polarities, writes Arati R Jerath https://t.co/xF1O29Nhr3",thetribunechd,https://m.tribuneindia.com/news/comment/why-bjp-cant-afford-to-take-aap-lightly-384141,yes,no,Opinion Kejriwal Politics BJP secular,,1.51207289715769e+18,2022-04-07 14:20:46+00:00,-0.5859,1.0,306,168,12,Information,negative
8,9,"Why #History and #Politics don’t make good friends. How the #political class seeks to distort history to gain votes. #samratashok #Kshatriya #Samrat #Ashok . 
 https://t.co/2evl7CYsnU",sanjeevrsingh,https://timesofindia.indiatimes.com/blogs/sanjeev-singh-blog/maurya-empire-samrat-ashoks-kshatriya-lineage-explained/,yes,no,History Politics political samratashok Kshatriya Samrat Ashok,,1.51348598825302e+18,2022-04-11 11:55:53+00:00,0.7964,0.35,242,134,17,Misinformation,positive
9,10,From today’s leader column: the #SNP’s Press blackout and the shame of Sturgeon’s secret state #politics #Scotland #media https://t.co/x032qo50Rl,GrahamGGrant,,no,yes,SNP politics Scotland media,,1.5123923245627e+18,2022-04-08 11:30:03+00:00,-0.4767,0.7,253,94,58,Information,negative
