ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
1,When the fringe amongst any majority  turn rogue it's the sane amongst majority who can turn the tides. Tons &amp tons of respect for these brave men for standing up against the rotten fringe.  A Masjid being gaurded during a procession in Katihar Bihar. #Hinduism https://t.co/osCK2FPFjr ,buttkout,,no,yes,Hinduism,,1.51482828311197E+018,2022-04-15 04:49:41+00:00,0.4939,1,39,6,3,Information,positive
2,"Also at Lotus Temple, #Hinduism #Buddhism and #Judaism are living side by side in perfect harmony😀 https://t.co/XB11IIwODA",NaorGilon,,no,yes,Hinduism Buddhism Judaism,,1.51277650605279E+018,2022-04-09 12:56:39+00:00,0.836,1,2503,228,36,Misinformation,positive
3,"If you want an honest, historically grounded view on #vegetarianism and #Hinduism (including #caste dimensions of the practice), from a progressive Hindu American group, here it is: https://t.co/7XYhDwZezK",AudreyTruschke,https://twitter.com/Hindus4HR/status/1513540389440876545,yes,no,vegetarianism Hinduism caste,,1.51354166226552E+018,2022-04-11 15:37:07+00:00,0.5574,0.3,109,39,0,Information,positive
4,"A new avatar of jihad has come to light, which shocked everyone in #TamilNadu. An adopted #Muslim father and his two sons are arrested for raping a 17-year-old college-going girl for more than three years.  #Jihad
https://t.co/WhNvkQuqy5",eOrganiser,https://organiser.org/2022/04/08/75639/bharat/foster-muslim-father-and-brothers-arrested-for-sexually-assaulting-an-adopted-17-year-old-girl/,yes,no,TamilNadu Muslim Jihad,,1.51260370365574E+018,2022-04-09 01:30:00+00:00,-0.8807,0.613636363636364,92,84,4,Misinformation,negative
5,#Karnataka #Muslim political Forum writes to president #RamNathKovind demanding president's rule in the state over *rising bar of hate and discrimination against #Muslims in the state*. Forum's sec jaffery says they will also knock the doors of #SupremeCourt. https://t.co/18O8PJJVik,KeypadGuerilla,,no,yes,Karnataka Muslim RamNathKovind Muslims SupremeCourt,,1.51448759312301E+018,2022-04-14 06:15:54+00:00,-0.6808,0.533333333333333,277,152,9,Information,negative
6,"“ #Ambedkar believed that a #Muslim would find it difficult to accept a Hindu government as they saw #Hindus as ‘#kafirs ’, and hence inferior (...)”

Read more in this piece by me authored for ⁦@firstpost⁩  https://t.co/4EdfIEynCT",Aabhas24,https://www.firstpost.com/opinion/how-br-ambedkars-idea-of-islam-exposes-woolly-headed-liberals-of-the-day-10559281.html,yes,no,Ambedkar Muslim Hindus kafirs,firstpost,1.51483710897194E+018,2022-04-15 05:24:45+00:00,-0.3818,0.75,58,30,1,Information,negative
7,Muslim push cart vendors targeted outside Hanuman Temple in Dharwad. Sri Ram Sene members vandalize &amp destroy watermelon &amp other fruits.Ram Sene says  #Muslim vendors shouldn't do business outside temples. Cops present at the location did nothing to stop the vandalism #Karnataka https://t.co/gu0pCjt0lj ,harishupadhya,,no,yes,Muslim Karnataka,,1.51275453859144E+018,2022-04-09 11:29:22+00:00,-0.3843,0.095,9026,5716,2058,Information,negative
8,Watch this video and tell me if you think that the masked #Palestinian thugs with rocks in hand and playing football and the prayer rugs inside #AlAqsa Mosque have any respect for the #Muslim religious site? https://t.co/SJJk5LcGju,haivri,,no,yes,Palestinian AlAqsa Muslim,,1.51495585798915E+018,2022-04-15 13:16:37+00:00,0.7964,0.25,21,13,6,Misinformation,positive
9,"A video showed a mosque in #Khargone engulfed in flames with smoke rising from the site. Another video showed youths pelting stones at #Muslim homes while police watched. 

Report by @MohammadRaafi 

#India

https://t.co/AJ2IumsTu6",TCNLive,https://twocircles.net/2022apr13/445589.html,yes,no,Khargone Muslim India,MohammadRaafi,1.51426541268674E+018,2022-04-13 15:33:02+00:00,0,0,30,26,0,Information,neutral
10,"After #HijabBan, K'tka #Hindu-extremists, partly/wholly justified or supported by ruling party or its allies have demanded:
1. Ban on #Muslim vendors near temples
2. Ban on Muslim fruit sellers
3. Ban on Muslim taxi drivers
4. Ban on idols made by Muslim sculptors
5. Halal ban",samar11,,no,no,HijabBan Hindu Muslim,,1.51302474280219E+018,2022-04-10 05:23:03+00:00,-0.9217,0.65,817,326,44,Misinformation,negative
11,"Never forget the ultimate goal 👆🏻
⠀
May Allah save us all from the distractions of this world 🤲🏻

#Quran #Islam #Ramadan #Muslim #Allah #Kuwait  #الكويت #القرآن #رمضان https://t.co/RZZ4cqGK3U",FatihSeferagic,,no,yes,Quran Islam Ramadan Muslim Allah Kuwait الكويت القرآن رمضان,,1.51423053033368E+018,2022-04-13 13:14:26+00:00,0.434,1,112,37,1,Information,positive
12,"Ban on #Muslim vendors ahead of festivals, Ban on Muslim fruit sellers, Ban on Muslim taxi drivers, Ban on idols made by Muslim,Himalaya ban, Meat shop ban, vandalisation of Muslim-owned stalls.....
BUT still ""Why just muslim related news? You didn't write abt that Hindu news!""🤦",Samriddhi0809,,no,no,Muslim,,1.51304459854474E+018,2022-04-10 06:41:57+00:00,-0.8845,0.4,1970,474,42,Misinformation,negative
13,"Hyderabad parliamentarian @asadowaisi termed the violence which was seen on Ramnavami as ""state-complicit violence"". He described the demolition of houses belonging to those from the #Muslim community in Madhya Pradesh as a violation of the Geneva Conventions. 
@THHyderabad",syedmohammedd,,no,no,Muslim,asadowaisi THHyderabad,1.51383285504603E+018,2022-04-12 10:54:12+00:00,-0.9081,0,921,289,10,Misinformation,negative
14,"Today, the Ford govt announced they will NOT pass #OurLondonFamily Act before QP dissolves. The bill was developed by #ONDP in partnership with @nccm &amp; #Muslim leaders in #LdnOnt &amp; across Ontario, in the wake of horrific #Islamophobic murder of Afzaal family. #ONpoli https://t.co/wno3S9BPPJ",PeggySattlerNDP,,no,yes,OurLondonFamily ONDP Muslim LdnOnt Islamophobic ONpoli,nccm,1.51473916511149E+018,2022-04-14 22:55:34+00:00,-0.8779,0.65,5,8,2,Misinformation,negative
