,ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
0,1,"“I dont Know if the world really gives equal attention to Black and white lives. #Ukraine is very important but even a fraction of that attention is not being given to Tigray,Yemen,Afghanistan, Syria.

The world is not treating the human race the same way” : WHO DG Tedros https://t.co/Y4EyK3vGQN",airnewsalerts,,no,yes,Ukraine,,1.51430807896281E+018,2022-04-13 18:22:35+00:00,0.1397,0.301190476190476,958,729,63,Information,neutral
1,2,"Zelenskyy called on countries to urgently provide #Ukraine with artillery, armored vehicles, air defense systems and aviation. https://t.co/e4Q38sybWp",nexta_tv,,no,yes,Ukraine,,1.5142807648374E+018,2022-04-13 16:34:02+00:00,0.128,0,4349,866,96,Information,neutral
2,3,"In Tallinn, women gathered in front of the Russian Embassy to protest against the Russian army's mass rapes in #Ukraine. They painted their underwear red and tied their hands. https://t.co/a0FvvKQWe6",KyivPost,,no,yes,Ukraine,,1.51420304596129E+018,2022-04-13 11:25:13+00:00,-0.7579,0,3518,1185,61,Misinformation,negative
3,4,"🙏🕯️Volodymyr Balyuk, Sergeant of the @ArmedForcesUkr, was awarded the title of Hero of 🇺🇦 (posthumously)
Balyuk died heroically on April 5, 2022 in the south of #Ukraine during a battle with the overwhelming forces of the enemy. 
Eternal glory and memory of the Hero-paratrooper! https://t.co/cj52jKnbu5",armyinformcomua,,no,yes,Ukraine,ArmedForcesUkr,1.51430941774707E+018,2022-04-13 18:27:54+00:00,0.5848,1,10120,1063,257,Information,positive
4,5,"Every time I see new testimony on #Russia soldiers raping #Ukraine women, I hope for justice. In all honesty I don’t care how it’s served to these savages: in an international tribunal or by a Ukrainian bullet",lesiavasylenko,,no,no,Russia Ukraine,,1.5143406812795E+018,2022-04-13 20:32:08+00:00,0.5423,0.227272727272727,4541,714,166,Information,positive
5,6,That very same russian ship that was sent in a very well known direction was hit today by Ukrainian missiles. Battle ship #Moskva down. #Ukraine celebrates,lesiavasylenko,,no,no,Moskva Ukraine,,1.51433859806522E+018,2022-04-13 20:23:51+00:00,0.5413,0.187847222222222,14489,1599,291,Information,positive
6,7,"Watch #Ukraine colors being projected on the Russian Embassy in DC. The Russians didn't like this and tried to wash it out with their own flashlights, but didn't really succeed. https://t.co/MxfehCi5jN",OstapYarysh,https://twitter.com/benjaminwittes/status/1514422654152982529,yes,no,Ukraine,,1.51442322612183E+018,2022-04-14 02:00:08+00:00,-0.6511,0.4,9687,2029,119,Information,negative
7,8,".@WHO Director-General @DrTedros says attention to #Ukraine is ""very important,"" but international media must also shine a spotlight on atrocities in Asia and Africa. ""What's happening in Ethiopia is a tragic situation people are being burned alive.""",jonathanserrie,,no,no,Ukraine,WHO DrTedros,1.51429516738112E+018,2022-04-13 17:31:16+00:00,-0.0138,0.5375,834,852,86,Information,neutral
8,9,"In #Ukraine when it’s bad we cry; when it’s really bad we sing; when it’s unbearable we laugh. Yes, we are strange like that. But also unbeatable. #UnbreakableUkraine",lesiavasylenko,,no,no,Ukraine UnbreakableUkraine,,1.51413613573958E+018,2022-04-13 06:59:20+00:00,-0.2952,0.395833333333333,13307,1537,175,Information,neutral
9,10,It arrived. #wolverines #ukraine #reddawn https://t.co/gYt8yCsfGq,AdamKinzinger,,no,yes,wolverines ukraine reddawn,,1.51440005372468E+018,2022-04-14 00:28:03+00:00,0,0,35927,2403,4653,Information,neutral
10,11,"At the request of the State Bureau of Investigation in #Ukraine, 154 items of property of oligarch Viktor #Medvedchuk and his wife have been seized. 

Among it are thirty land plots, 32 apartments, 23 houses, 17 parking lots, a yacht and a fleet of 26 luxury cars. https://t.co/4iH21Ut3ti",nexta_tv,,no,yes,Ukraine Medvedchuk,,1.51450265166857E+018,2022-04-14 07:15:44+00:00,0,0,2858,486,75,Information,neutral
11,12,📢 Prosecutor #KarimAAKhanQC on visit to #Bucha: “#Ukraine is a crime scene. We’re here because we have reasonable grounds to believe that crimes within the jurisdiction of the #ICC are being committed. We have to pierce the fog of war to get to the #truth.” #JusticeMatters https://t.co/oqaAJYAgAa,IntlCrimCourt,,no,yes,KarimAAKhanQC Bucha Ukraine ICC truth JusticeMatters,,1.51424909050632E+018,2022-04-13 14:28:11+00:00,-0.743,0.6,3139,1439,168,Information,negative
12,13,"This is Sasha Skochilenko. She’s facing 10 yrs in prison for replacing supermarket price labels with information on Russian attacks on civilians in Mariupol, #Ukraine, accused of spreading ‘false information’. Sasha doesn’t deny leaving the tags, but insists it’s all true https://t.co/8gc5FhOzBd",sarahrainsford,,no,yes,Ukraine,,1.5145470168771E+018,2022-04-14 10:12:02+00:00,-0.1779,0.416666666666667,4061,1037,102,Information,neutral
